class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
91,88.14,93.22,88.14,40.68,28.81,32.2,37.29,54.24,42.37,45.76,33.9,44.07,83.05,84.75,77.97,79.66,91.53,89.83,59
92,0.0,8.33,33.33,0.0,0.0,16.67,0.0,8.33,8.33,0.0,0.0,16.67,0.0,16.67,41.67,8.33,8.33,33.33,12
93,43.1,53.45,74.14,3.45,0.0,6.9,3.45,1.72,17.24,5.17,5.17,13.79,12.07,20.69,44.83,15.52,25.86,53.45,58
94,33.33,66.67,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,0.0,42.86,57.14,0.0,14.29,42.86,0.0,28.57,42.86,14.29,0.0,42.86,0.0,14.29,71.43,0.0,14.29,57.14,7
97,80.95,76.19,82.54,39.68,44.44,36.51,20.63,52.38,28.57,39.68,46.03,36.51,77.78,74.6,79.37,79.37,77.78,84.13,63
98,66.67,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,66.67,66.67,0.0,66.67,3
99,94.74,100.0,94.74,21.05,21.05,57.89,52.63,57.89,63.16,31.58,36.84,73.68,89.47,84.21,94.74,84.21,89.47,94.74,19
100,16.67,100.0,100.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,16.67,33.33,0.0,50.0,100.0,0.0,66.67,83.33,6
101,100.0,100.0,100.0,0.0,0.0,60.0,60.0,40.0,60.0,60.0,20.0,40.0,40.0,0.0,60.0,20.0,0.0,60.0,5
102,96.0,96.0,96.0,24.0,24.0,20.0,24.0,24.0,32.0,36.0,32.0,36.0,88.0,96.0,88.0,88.0,96.0,96.0,25
